Time,Pack Amperage (Current)
Thu Oct 17 18:21:55 CST 2024,16.9
Thu Oct 17 18:21:55 CST 2024,15.9
Thu Oct 17 18:21:55 CST 2024,6.2
Thu Oct 17 18:21:55 CST 2024,4
Thu Oct 17 18:21:55 CST 2024,2.3
Thu Oct 17 18:21:55 CST 2024,2.1
Thu Oct 17 18:21:56 CST 2024,1.5
Thu Oct 17 18:21:56 CST 2024,0.3
Thu Oct 17 18:21:56 CST 2024,-1.2
Thu Oct 17 18:21:56 CST 2024,-1.2
Thu Oct 17 18:21:56 CST 2024,-1.2
Thu Oct 17 18:21:56 CST 2024,-1.4
Thu Oct 17 18:21:56 CST 2024,-1.3
Thu Oct 17 18:21:56 CST 2024,-0.9
Thu Oct 17 18:21:56 CST 2024,0.2
Thu Oct 17 18:21:56 CST 2024,0.8
Thu Oct 17 18:21:57 CST 2024,0.7
Thu Oct 17 18:21:57 CST 2024,0.7
Thu Oct 17 18:21:57 CST 2024,-1
Thu Oct 17 18:21:57 CST 2024,-4
Thu Oct 17 18:21:57 CST 2024,-8.7
Thu Oct 17 18:21:57 CST 2024,-9.8
Thu Oct 17 18:21:57 CST 2024,-3.2
Thu Oct 17 18:21:57 CST 2024,0.2
Thu Oct 17 18:21:57 CST 2024,3.6
Thu Oct 17 18:21:57 CST 2024,3.3
Thu Oct 17 18:21:58 CST 2024,2.4
Thu Oct 17 18:21:58 CST 2024,-0.3
Thu Oct 17 18:21:58 CST 2024,-3
Thu Oct 17 18:21:58 CST 2024,-3.3
Thu Oct 17 18:21:58 CST 2024,-2.9
Thu Oct 17 18:21:58 CST 2024,-0.7
Thu Oct 17 18:21:58 CST 2024,1.6
Thu Oct 17 18:21:58 CST 2024,2.1
Thu Oct 17 18:21:58 CST 2024,1.8
Thu Oct 17 18:21:58 CST 2024,1.7
Thu Oct 17 18:21:59 CST 2024,1.2
Thu Oct 17 18:21:59 CST 2024,1.2
Thu Oct 17 18:21:59 CST 2024,1.1
Thu Oct 17 18:21:59 CST 2024,1.2
Thu Oct 17 18:21:59 CST 2024,1.2
Thu Oct 17 18:21:59 CST 2024,1
Thu Oct 17 18:21:59 CST 2024,1.1
Thu Oct 17 18:21:59 CST 2024,1.1
Thu Oct 17 18:21:59 CST 2024,1.1
Thu Oct 17 18:22:00 CST 2024,1
Thu Oct 17 18:22:00 CST 2024,1
Thu Oct 17 18:22:00 CST 2024,1
Thu Oct 17 18:22:00 CST 2024,0.8
Thu Oct 17 18:22:00 CST 2024,1
Thu Oct 17 18:22:00 CST 2024,0.8
Thu Oct 17 18:22:00 CST 2024,1
Thu Oct 17 18:22:00 CST 2024,1
Thu Oct 17 18:22:00 CST 2024,1
Thu Oct 17 18:22:00 CST 2024,1
Thu Oct 17 18:22:01 CST 2024,1
Thu Oct 17 18:22:01 CST 2024,1
Thu Oct 17 18:22:01 CST 2024,1
Thu Oct 17 18:22:01 CST 2024,1
Thu Oct 17 18:22:01 CST 2024,2.2
Thu Oct 17 18:22:01 CST 2024,3.4
Thu Oct 17 18:22:01 CST 2024,6.1
Thu Oct 17 18:22:01 CST 2024,7.3
Thu Oct 17 18:22:01 CST 2024,9.2
Thu Oct 17 18:22:01 CST 2024,11.5
Thu Oct 17 18:22:02 CST 2024,14.3
Thu Oct 17 18:22:02 CST 2024,15.7
Thu Oct 17 18:22:02 CST 2024,17.1
Thu Oct 17 18:22:02 CST 2024,18
Thu Oct 17 18:22:02 CST 2024,17.4
Thu Oct 17 18:22:02 CST 2024,16.4
Thu Oct 17 18:22:02 CST 2024,16.1
Thu Oct 17 18:22:02 CST 2024,16
Thu Oct 17 18:22:02 CST 2024,15.9
Thu Oct 17 18:22:02 CST 2024,15.4
Thu Oct 17 18:22:03 CST 2024,14.2
Thu Oct 17 18:22:03 CST 2024,9.3
Thu Oct 17 18:22:03 CST 2024,7.7
Thu Oct 17 18:22:03 CST 2024,7.1
Thu Oct 17 18:22:03 CST 2024,6.4
Thu Oct 17 18:22:03 CST 2024,6.1
Thu Oct 17 18:22:03 CST 2024,6.3
Thu Oct 17 18:22:03 CST 2024,6.8
Thu Oct 17 18:22:03 CST 2024,6.8
Thu Oct 17 18:22:03 CST 2024,6.5
Thu Oct 17 18:22:04 CST 2024,6.5
Thu Oct 17 18:22:04 CST 2024,6.8
Thu Oct 17 18:22:04 CST 2024,6.6
Thu Oct 17 18:22:04 CST 2024,6.9
Thu Oct 17 18:22:04 CST 2024,6.7
Thu Oct 17 18:22:04 CST 2024,6.6
Thu Oct 17 18:22:04 CST 2024,6.8
Thu Oct 17 18:22:04 CST 2024,6.5
Thu Oct 17 18:22:04 CST 2024,8.6
Thu Oct 17 18:22:04 CST 2024,11.4
